image_id,image_path,mask_path,label,has_polyp,ymin,xmin,ymax,xmax,area_px,relative_area,split
polyp_0000,images\polyp_0000.jpg,masks\polyp_0000_mask.png,normal,0,0,0,0,0,0,0.0,train
polyp_0001,images\polyp_0001.jpg,masks\polyp_0001_mask.png,polyp,1,43,112,111,162,2759,0.055,train
polyp_0002,images\polyp_0002.jpg,masks\polyp_0002_mask.png,polyp,1,26,32,78,86,2275,0.0453,train
polyp_0003,images\polyp_0003.jpg,masks\polyp_0003_mask.png,polyp,1,115,48,171,110,2807,0.0559,train
polyp_0004,images\polyp_0004.jpg,masks\polyp_0004_mask.png,polyp,1,60,93,126,123,1633,0.0325,train
polyp_0005,images\polyp_0005.jpg,masks\polyp_0005_mask.png,normal,0,0,0,0,0,0,0.0,train
polyp_0006,images\polyp_0006.jpg,masks\polyp_0006_mask.png,polyp,1,27,79,95,127,2653,0.0529,train
polyp_0007,images\polyp_0007.jpg,masks\polyp_0007_mask.png,polyp,1,98,141,140,189,1655,0.033,train
polyp_0008,images\polyp_0008.jpg,masks\polyp_0008_mask.png,polyp,1,78,90,146,142,2869,0.0572,train
polyp_0009,images\polyp_0009.jpg,masks\polyp_0009_mask.png,polyp,1,98,51,160,117,3305,0.0659,train
polyp_0010,images\polyp_0010.jpg,masks\polyp_0010_mask.png,normal,0,0,0,0,0,0,0.0,train
polyp_0011,images\polyp_0011.jpg,masks\polyp_0011_mask.png,polyp,1,72,140,116,190,1799,0.0359,train
polyp_0012,images\polyp_0012.jpg,masks\polyp_0012_mask.png,polyp,1,133,29,193,85,2729,0.0544,train
polyp_0013,images\polyp_0013.jpg,masks\polyp_0013_mask.png,polyp,1,89,142,155,178,1947,0.0388,train
polyp_0014,images\polyp_0014.jpg,masks\polyp_0014_mask.png,polyp,1,130,73,166,125,1545,0.0308,train
polyp_0015,images\polyp_0015.jpg,masks\polyp_0015_mask.png,normal,0,0,0,0,0,0,0.0,train
polyp_0016,images\polyp_0016.jpg,masks\polyp_0016_mask.png,polyp,1,88,104,146,134,1437,0.0286,train
polyp_0017,images\polyp_0017.jpg,masks\polyp_0017_mask.png,polyp,1,54,98,116,140,2117,0.0422,train
polyp_0018,images\polyp_0018.jpg,masks\polyp_0018_mask.png,polyp,1,155,97,189,151,1517,0.0302,train
polyp_0019,images\polyp_0019.jpg,masks\polyp_0019_mask.png,polyp,1,69,43,105,103,1769,0.0353,train
polyp_0020,images\polyp_0020.jpg,masks\polyp_0020_mask.png,normal,0,0,0,0,0,0,0.0,train
polyp_0021,images\polyp_0021.jpg,masks\polyp_0021_mask.png,polyp,1,81,89,139,129,1895,0.0378,train
polyp_0022,images\polyp_0022.jpg,masks\polyp_0022_mask.png,polyp,1,71,56,113,106,1725,0.0344,train
polyp_0023,images\polyp_0023.jpg,masks\polyp_0023_mask.png,polyp,1,109,71,153,117,1655,0.033,train
